axis,cell_id,competent_seed_count,generator_family,head_count,maximum_seed_accuracy,mean_accuracy,minimum_seed_accuracy,model_depth,model_width,nuisance_count,predictive_order,raw_length,requested_dependency_span,seed_count,three_seed_competent,training_budget
dependency_span,0c9a5ad51bfa,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,8,3,1,4
dependency_span,239494a22bda,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
dependency_span,516d5f3a8cea,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,2,3,1,4
dependency_span,7a494b2e93f4,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,16,3,1,4
dependency_span,cdd05bfab044,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,32,3,1,4
generator_family,64e7c9b15cd9,3,contiguous,4,1.0,1.0,1.0,2,64,0,2,12,2,3,1,4
generator_family,cd72217c00e4,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
generator_family,dad81f86a87c,3,skip_gram,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
nuisance,0ebbf95b3e38,3,necessary_pattern,4,1.0,1.0,1.0,2,64,4,2,12,4,3,1,4
nuisance,7a6b0b00032a,3,necessary_pattern,4,1.0,1.0,1.0,2,64,8,2,12,4,3,1,4
nuisance,888714c4e48e,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
nuisance,9fe6cfcfa630,3,necessary_pattern,4,1.0,1.0,1.0,2,64,16,2,12,4,3,1,4
nuisance,b7046cfe3bf0,3,necessary_pattern,4,1.0,1.0,1.0,2,64,32,2,12,4,3,1,4
nuisance,ca9c5624dbda,3,necessary_pattern,4,1.0,1.0,1.0,2,64,2,2,12,4,3,1,4
predictive_order,2368e64e6ae0,0,necessary_pattern,4,0.5,0.40625,0.34375,2,64,0,3,12,4,3,0,4
predictive_order,30712ebe71a9,0,necessary_pattern,4,0.375,0.3333333333333333,0.3125,2,64,0,8,12,8,3,0,4
predictive_order,3c1c7bde239d,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,1,12,4,3,1,4
predictive_order,96300ccbcaee,0,necessary_pattern,4,0.28125,0.19791666666666666,0.15625,2,64,0,6,12,6,3,0,4
predictive_order,a5891a5b16d7,0,necessary_pattern,4,0.28125,0.20833333333333334,0.0625,2,64,0,12,12,12,3,0,4
predictive_order,ecae3be4326f,0,necessary_pattern,4,0.375,0.3020833333333333,0.1875,2,64,0,4,12,4,3,0,4
predictive_order,f306bd7c1d91,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
raw_length,07cdc0054772,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,2,4,3,1,4
raw_length,5b3975d8947d,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,3,4,3,1,4
raw_length,5bed8b907b14,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,16,4,3,1,4
raw_length,6ee96a3ceda6,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,8,4,3,1,4
raw_length,9cb22f271bee,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,24,4,3,1,4
raw_length,dcb8f7366193,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,12,4,3,1,4
raw_length,def8612efd03,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,6,4,3,1,4
raw_length,e9e9842f144b,3,necessary_pattern,4,1.0,1.0,1.0,2,64,0,2,4,4,3,1,4
dependency_span,0c9a5ad51bfa,3,skip_gram,4,1.0,1.0,1.0,8,32,0,2,12,8,3,1,4
dependency_span,239494a22bda,3,skip_gram,4,1.0,1.0,1.0,8,32,0,2,12,4,3,1,4
dependency_span,516d5f3a8cea,3,skip_gram,4,1.0,1.0,1.0,8,32,0,2,12,2,3,1,4
dependency_span,7a494b2e93f4,3,skip_gram,4,1.0,1.0,1.0,8,32,0,2,12,16,3,1,4
dependency_span,cdd05bfab044,3,skip_gram,4,1.0,0.9895833333333334,0.96875,8,32,0,2,12,32,3,1,4
generator_family,64e7c9b15cd9,3,contiguous,4,1.0,1.0,1.0,8,32,0,2,12,2,3,1,4
generator_family,cd72217c00e4,3,necessary_pattern,4,1.0,1.0,1.0,8,32,0,2,12,4,3,1,4
generator_family,dad81f86a87c,3,skip_gram,4,1.0,1.0,1.0,8,32,0,2,12,4,3,1,4
nuisance,0ebbf95b3e38,3,necessary_pattern,4,1.0,1.0,1.0,8,32,4,2,12,4,3,1,4
nuisance,7a6b0b00032a,3,necessary_pattern,4,1.0,1.0,1.0,8,32,8,2,12,4,3,1,4
nuisance,888714c4e48e,3,necessary_pattern,4,1.0,1.0,1.0,8,32,0,2,12,4,3,1,4
nuisance,9fe6cfcfa630,3,necessary_pattern,4,1.0,1.0,1.0,8,32,16,2,12,4,3,1,4
nuisance,b7046cfe3bf0,3,necessary_pattern,4,1.0,1.0,1.0,8,32,32,2,12,4,3,1,4
