base_length,extension_length,family_id,jaccard_overlap,layer,model_seed,position_mode,relation_type,spearman_utility_correlation,top2_head_overlap
2,1,irrelevant_extension:n2:k1:f8,0.3333333333333333,5,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,0,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,1,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f9,1.0,2,11,aligned,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,4,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,5,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,0,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,1,11,aligned,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f10,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,3,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f10,1.0,4,11,aligned,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,5,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,0,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,1,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,2,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,3,11,aligned,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,4,11,aligned,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,5,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f12,0.0,0,11,aligned,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,1,11,aligned,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f12,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,3,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,4,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,5,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f13,0.0,0,11,aligned,irrelevant_extension,-1.0,0.0
2,1,irrelevant_extension:n2:k1:f13,0.0,1,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,3,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,4,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f13,1.0,5,11,aligned,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f14,0.3333333333333333,0,11,aligned,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f14,1.0,1,11,aligned,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f14,0.0,2,11,aligned,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f14,0.3333333333333333,3,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f14,0.3333333333333333,4,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f14,1.0,5,11,aligned,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f15,0.3333333333333333,0,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f15,1.0,1,11,aligned,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f15,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f15,1.0,3,11,aligned,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f15,0.0,4,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f15,0.3333333333333333,5,11,aligned,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f0,0.3333333333333333,0,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f0,1.0,1,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f0,0.0,2,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f0,0.3333333333333333,3,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f0,1.0,4,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f0,1.0,5,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f1,1.0,0,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f1,1.0,1,11,randomized,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f1,0.0,2,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f1,0.3333333333333333,3,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f1,0.3333333333333333,4,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f1,0.3333333333333333,5,11,randomized,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f2,0.3333333333333333,0,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f2,1.0,1,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f2,1.0,2,11,randomized,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f2,0.3333333333333333,3,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f2,0.3333333333333333,4,11,randomized,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f2,0.3333333333333333,5,11,randomized,irrelevant_extension,-0.632455532033676,0.5
2,1,irrelevant_extension:n2:k1:f3,1.0,0,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f3,1.0,1,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f3,0.0,2,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f3,1.0,3,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f3,0.3333333333333333,4,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f3,0.3333333333333333,5,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f4,1.0,0,11,randomized,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f4,0.0,1,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f4,0.3333333333333333,2,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f4,1.0,3,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f4,0.3333333333333333,4,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f4,1.0,5,11,randomized,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f5,0.3333333333333333,0,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f5,0.3333333333333333,1,11,randomized,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f5,0.3333333333333333,2,11,randomized,irrelevant_extension,0.7999999999999999,0.5
2,1,irrelevant_extension:n2:k1:f5,1.0,3,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f5,1.0,4,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f5,0.3333333333333333,5,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f6,0.3333333333333333,0,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f6,1.0,1,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f6,0.0,2,11,randomized,irrelevant_extension,-1.0,0.0
2,1,irrelevant_extension:n2:k1:f6,1.0,3,11,randomized,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f6,0.0,4,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f6,0.3333333333333333,5,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f7,0.3333333333333333,0,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f7,0.3333333333333333,1,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f7,0.3333333333333333,2,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f7,0.3333333333333333,3,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f7,0.0,4,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f7,1.0,5,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f8,0.3333333333333333,0,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f8,0.3333333333333333,1,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f8,0.0,2,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f8,0.3333333333333333,3,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f8,0.0,4,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f8,0.3333333333333333,5,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,0,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,1,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f9,1.0,2,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,3,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,4,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f9,0.3333333333333333,5,11,randomized,irrelevant_extension,-0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f10,0.0,0,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f10,1.0,1,11,randomized,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f10,0.0,2,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,3,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f10,1.0,4,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f10,0.3333333333333333,5,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,0,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,1,11,randomized,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,2,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,3,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f11,0.0,4,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f11,0.3333333333333333,5,11,randomized,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,0,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f12,0.0,1,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f12,0.0,2,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f12,1.0,3,11,randomized,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f12,0.0,4,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f12,0.3333333333333333,5,11,randomized,irrelevant_extension,0.632455532033676,0.5
2,1,irrelevant_extension:n2:k1:f13,0.0,0,11,randomized,irrelevant_extension,-1.0,0.0
2,1,irrelevant_extension:n2:k1:f13,0.0,1,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f13,0.0,2,11,randomized,irrelevant_extension,-1.0,0.0
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,3,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,4,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f13,0.3333333333333333,5,11,randomized,irrelevant_extension,0.19999999999999998,0.5
2,1,irrelevant_extension:n2:k1:f14,1.0,0,11,randomized,irrelevant_extension,0.6000000000000001,1.0
2,1,irrelevant_extension:n2:k1:f14,1.0,1,11,randomized,irrelevant_extension,1.0,1.0
2,1,irrelevant_extension:n2:k1:f14,0.0,2,11,randomized,irrelevant_extension,-0.6000000000000001,0.0
2,1,irrelevant_extension:n2:k1:f14,0.3333333333333333,3,11,randomized,irrelevant_extension,0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f14,0.3333333333333333,4,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f14,1.0,5,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,1,irrelevant_extension:n2:k1:f15,0.0,0,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f15,0.3333333333333333,1,11,randomized,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f15,0.3333333333333333,2,11,randomized,irrelevant_extension,-0.39999999999999997,0.5
2,1,irrelevant_extension:n2:k1:f15,0.3333333333333333,3,11,randomized,irrelevant_extension,0.0,0.5
2,1,irrelevant_extension:n2:k1:f15,0.0,4,11,randomized,irrelevant_extension,-0.7999999999999999,0.0
2,1,irrelevant_extension:n2:k1:f15,1.0,5,11,randomized,irrelevant_extension,0.7999999999999999,1.0
2,2,irrelevant_extension:n2:k2:f0,0.3333333333333333,0,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f0,0.3333333333333333,1,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f0,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,2,irrelevant_extension:n2:k2:f0,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f0,0.3333333333333333,4,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,2,irrelevant_extension:n2:k2:f0,0.3333333333333333,5,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,2,irrelevant_extension:n2:k2:f1,0.0,0,11,aligned,irrelevant_extension,-1.0,0.0
2,2,irrelevant_extension:n2:k2:f1,0.3333333333333333,1,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f1,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,2,irrelevant_extension:n2:k2:f1,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f1,0.3333333333333333,4,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f1,0.3333333333333333,5,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f2,1.0,0,11,aligned,irrelevant_extension,0.7999999999999999,1.0
2,2,irrelevant_extension:n2:k2:f2,0.3333333333333333,1,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,2,irrelevant_extension:n2:k2:f2,1.0,2,11,aligned,irrelevant_extension,0.7999999999999999,1.0
2,2,irrelevant_extension:n2:k2:f2,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f2,0.3333333333333333,4,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f2,0.3333333333333333,5,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f3,0.0,0,11,aligned,irrelevant_extension,-0.6000000000000001,0.0
2,2,irrelevant_extension:n2:k2:f3,0.3333333333333333,1,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f3,0.3333333333333333,2,11,aligned,irrelevant_extension,0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f3,1.0,3,11,aligned,irrelevant_extension,1.0,1.0
2,2,irrelevant_extension:n2:k2:f3,1.0,4,11,aligned,irrelevant_extension,0.7999999999999999,1.0
2,2,irrelevant_extension:n2:k2:f3,0.3333333333333333,5,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f4,0.0,0,11,aligned,irrelevant_extension,-1.0,0.0
2,2,irrelevant_extension:n2:k2:f4,0.3333333333333333,1,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f4,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,2,irrelevant_extension:n2:k2:f4,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f4,0.3333333333333333,4,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f4,0.3333333333333333,5,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f5,0.3333333333333333,0,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f5,1.0,1,11,aligned,irrelevant_extension,0.6000000000000001,1.0
2,2,irrelevant_extension:n2:k2:f5,0.0,2,11,aligned,irrelevant_extension,-0.6000000000000001,0.0
2,2,irrelevant_extension:n2:k2:f5,0.3333333333333333,3,11,aligned,irrelevant_extension,-0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f5,0.0,4,11,aligned,irrelevant_extension,-1.0,0.0
2,2,irrelevant_extension:n2:k2:f5,0.3333333333333333,5,11,aligned,irrelevant_extension,0.19999999999999998,0.5
2,2,irrelevant_extension:n2:k2:f6,0.3333333333333333,0,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f6,0.3333333333333333,1,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f6,0.0,2,11,aligned,irrelevant_extension,-0.7999999999999999,0.0
2,2,irrelevant_extension:n2:k2:f6,0.3333333333333333,3,11,aligned,irrelevant_extension,0.39999999999999997,0.5
2,2,irrelevant_extension:n2:k2:f6,0.3333333333333333,4,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,2,irrelevant_extension:n2:k2:f6,0.3333333333333333,5,11,aligned,irrelevant_extension,0.7999999999999999,0.5
2,2,irrelevant_extension:n2:k2:f7,1.0,0,11,aligned,irrelevant_extension,1.0,1.0
2,2,irrelevant_extension:n2:k2:f7,0.3333333333333333,1,11,aligned,irrelevant_extension,-0.39999999999999997,0.5
