axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,3c1c7bde239d,1,0,"p1:(2,):0",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,1,"p1:(3,):1",0.9586620330810547,1,2,post_ff,4,necessary_pattern,4,8,37,32,0,77632,1,12,4,2,post_ff,4,1,1,400
predictive_order,3c1c7bde239d,1,2,"p1:(3,):2",0.9586620330810547,1,2,post_ff,4,necessary_pattern,4,8,37,32,0,77632,1,12,4,2,post_ff,4,1,1,400
predictive_order,3c1c7bde239d,1,3,"p1:(1,):3",-0.9500932693481445,2,,,,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,4,"p1:(2,):4",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,5,"p1:(0,):5",-0.1902637481689453,2,2,post_sa,3,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,6,"p1:(3,):6",0.9586620330810547,1,2,post_ff,4,necessary_pattern,4,8,37,32,0,77632,1,12,4,2,post_ff,4,1,1,400
predictive_order,3c1c7bde239d,1,7,"p1:(2,):7",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,8,"p1:(2,):8",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,9,"p1:(2,):9",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,10,"p1:(1,):10",-0.9500932693481445,2,,,,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,11,"p1:(0,):11",-0.1902637481689453,2,2,post_sa,3,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",-0.1902637481689453,2,2,post_sa,3,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",-0.1902637481689453,2,2,post_sa,3,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",-0.1902637481689453,2,2,post_sa,3,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",-0.9500932693481445,2,,,,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
predictive_order,3c1c7bde239d,1,16,"p1:(3,):0",0.9586620330810547,1,2,post_ff,4,necessary_pattern,4,8,37,32,0,77632,1,12,4,2,post_ff,4,1,1,400
predictive_order,3c1c7bde239d,1,17,"p1:(2,):1",0.15624618530273438,1,4,post_sa,7,necessary_pattern,4,8,37,32,0,77632,1,12,4,4,post_sa,7,1,1,400
predictive_order,3c1c7bde239d,1,18,"p1:(1,):2",-0.9500932693481445,2,,,,necessary_pattern,4,8,37,32,0,77632,1,12,4,,,,0,1,400
