architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10000,4,2,11,aligned,0,1,validation,0.2828636169433594,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10001,4,2,11,aligned,1,1,validation,-0.04930877685546875,0,0,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10002,4,2,11,aligned,0,1,validation,0.06533432006835938,0,1,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10003,4,2,11,aligned,1,1,validation,0.19865989685058594,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10004,4,2,11,aligned,0,1,validation,0.11329460144042969,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10005,4,2,11,aligned,1,1,validation,-0.10978507995605469,0,0,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10006,4,2,11,aligned,0,1,validation,0.248046875,0,1,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10007,4,2,11,aligned,1,1,validation,-0.13573455810546875,0,0,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10008,4,2,11,aligned,0,1,validation,0.4471454620361328,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10009,4,2,11,aligned,1,1,validation,-0.3091621398925781,0,0,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10010,4,2,11,aligned,0,1,validation,0.08336067199707031,0,1,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10011,4,2,11,aligned,1,1,validation,-0.276702880859375,0,0,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10012,4,2,11,aligned,0,1,validation,0.004619598388671875,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree101:i10013,4,2,11,aligned,1,1,validation,0.05583763122558594,0,1,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10014,4,2,11,aligned,0,1,validation,0.36591339111328125,0,1,3,101,64
L2_W64_H4,1,validation:d1:t0:paligned:tree101:i10015,4,2,11,aligned,1,1,validation,-0.20237159729003906,0,0,3,101,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10000,4,2,11,aligned,0,1,validation,0.11008262634277344,0,1,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10001,4,2,11,aligned,1,1,validation,-0.4690437316894531,0,0,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10002,4,2,11,aligned,0,1,validation,-0.10675430297851562,0,0,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10003,4,2,11,aligned,1,1,validation,-0.06925392150878906,0,0,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10004,4,2,11,aligned,0,1,validation,0.15497589111328125,0,1,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10005,4,2,11,aligned,1,1,validation,-0.09689140319824219,0,0,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10006,4,2,11,aligned,0,1,validation,0.17830657958984375,0,1,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10007,4,2,11,aligned,1,1,validation,-0.051654815673828125,0,0,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10008,4,2,11,aligned,0,1,validation,0.10275459289550781,0,1,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10009,4,2,11,aligned,1,1,validation,-0.13861083984375,0,0,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10010,4,2,11,aligned,0,1,validation,0.07646942138671875,0,1,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10011,4,2,11,aligned,1,1,validation,-0.030496597290039062,0,0,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10012,4,2,11,aligned,0,1,validation,-0.07149505615234375,0,0,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree211:i10013,4,2,11,aligned,1,1,validation,-0.11667442321777344,0,0,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10014,4,2,11,aligned,0,1,validation,0.014566421508789062,0,1,3,211,64
L2_W64_H4,1,validation:d1:t0:paligned:tree211:i10015,4,2,11,aligned,1,1,validation,-0.2552528381347656,0,0,3,211,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10000,4,2,11,aligned,0,1,validation,0.3836383819580078,0,1,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10001,4,2,11,aligned,1,1,validation,-0.2236003875732422,0,0,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10002,4,2,11,aligned,0,1,validation,0.11777496337890625,0,1,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10003,4,2,11,aligned,1,1,validation,0.0034923553466796875,0,1,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10004,4,2,11,aligned,0,1,validation,0.03134918212890625,0,1,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10005,4,2,11,aligned,1,1,validation,-0.17078590393066406,0,0,3,307,64
