architecture_depth,last_newly_recruited_layer,layer,long_length,model_seed,new_head_count,regime,short_length,top2_overlap
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,2,supportive,2,0.0
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,2,2,3,11,1,supportive,2,0.5
8,2,2,3,11,1,supportive,2,0.5
8,,2,3,11,0,supportive,2,1.0
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,2,redundant,2,0.0
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,2,redundant,2,0.0
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,3,3,3,11,1,redundant,2,0.5
8,,3,3,11,0,redundant,2,1.0
8,3,3,3,11,1,redundant,2,0.5
8,,3,3,11,0,redundant,2,1.0
8,3,3,3,11,1,redundant,2,0.5
