dependency_span,family_id,final_margin,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,span_mode,top1_correct,training_budget,training_steps
1,"p1:(2,):7",6.301250457763672,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(3,):8",6.3993425369262695,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(3,):9",6.386913299560547,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(1,):10",7.656390190124512,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(1,):11",7.68537712097168,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(3,):12",6.077445983886719,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(3,):13",6.426190376281738,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(3,):14",6.315243721008301,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(2,):15",6.357367515563965,2,11,transformer,32,2,22784,1,1,moderate,1,1,400
1,"p1:(2,):0",6.434296607971191,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):1",6.404624938964844,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):2",6.449926376342773,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(0,):3",9.793076515197754,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):4",6.386345863342285,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(0,):5",10.28905200958252,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):6",6.412356376647949,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):7",6.1735076904296875,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):8",6.4095258712768555,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):9",6.023672103881836,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(1,):10",7.505913734436035,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(1,):11",7.598060607910156,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):12",6.381390571594238,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):13",6.402349472045898,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(3,):14",6.047323226928711,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):15",6.412786483764648,2,11,transformer,32,4,22784,1,1,moderate,1,1,400
1,"p1:(2,):0",6.453849792480469,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):1",6.391701698303223,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):2",6.582284927368164,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(0,):3",9.896845817565918,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):4",6.397914886474609,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(0,):5",9.181512832641602,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):6",6.322721481323242,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):7",6.07377815246582,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):8",6.32194709777832,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):9",6.387065887451172,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(1,):10",7.054553985595703,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(1,):11",7.217931747436523,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):12",6.381473541259766,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):13",5.7673444747924805,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(3,):14",6.439769744873047,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):15",6.5416059494018555,2,11,transformer,32,8,22784,1,1,moderate,1,1,400
1,"p1:(2,):0",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):1",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):2",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(0,):3",9.860939979553223,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):4",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(0,):5",9.860939979553223,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):6",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):7",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):8",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):9",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(1,):10",7.719074249267578,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(1,):11",7.719074249267578,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):12",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):13",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(3,):14",6.389925003051758,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):15",6.40493106842041,2,11,transformer,32,0,22784,1,1,large,1,1,400
1,"p1:(2,):0",6.426271438598633,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):1",6.379836082458496,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):2",3.906526565551758,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(0,):3",9.789041519165039,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):4",6.379842758178711,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(0,):5",10.363235473632812,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):6",6.390599250793457,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):7",6.301250457763672,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):8",6.3993425369262695,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):9",6.386913299560547,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(1,):10",7.656390190124512,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(1,):11",7.68537712097168,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):12",6.077445983886719,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):13",6.426190376281738,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(3,):14",6.315243721008301,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):15",6.357367515563965,2,11,transformer,32,2,22784,1,1,large,1,1,400
1,"p1:(2,):0",6.434296607971191,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):1",6.404624938964844,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):2",6.449926376342773,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(0,):3",9.793076515197754,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):4",6.386345863342285,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(0,):5",10.28905200958252,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):6",6.412356376647949,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):7",6.1735076904296875,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):8",6.4095258712768555,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):9",6.023672103881836,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(1,):10",7.505913734436035,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(1,):11",7.598060607910156,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):12",6.381390571594238,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):13",6.402349472045898,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(3,):14",6.047323226928711,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):15",6.412786483764648,2,11,transformer,32,4,22784,1,1,large,1,1,400
1,"p1:(2,):0",6.453849792480469,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):1",6.391701698303223,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):2",6.582284927368164,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(0,):3",9.896845817565918,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):4",6.397914886474609,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(0,):5",9.181512832641602,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):6",6.322721481323242,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):7",6.07377815246582,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):8",6.32194709777832,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):9",6.387065887451172,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(1,):10",7.054553985595703,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(1,):11",7.217931747436523,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):12",6.381473541259766,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):13",5.7673444747924805,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(3,):14",6.439769744873047,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):15",6.5416059494018555,2,11,transformer,32,8,22784,1,1,large,1,1,400
1,"p1:(2,):0",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):1",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):2",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(0,):3",6.485475540161133,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):4",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(0,):5",6.485475540161133,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):6",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):7",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):8",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):9",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(1,):10",7.779227256774902,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(1,):11",7.779227256774902,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):12",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):13",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(3,):14",6.669471740722656,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):15",6.411789894104004,2,11,transformer,32,0,22784,1,4,contiguous,1,1,400
1,"p1:(2,):0",6.383021354675293,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(3,):1",6.508603096008301,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):2",6.238677978515625,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(0,):3",6.584728240966797,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):4",6.202976226806641,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(0,):5",6.915619850158691,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):6",6.282854080200195,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):7",4.77998161315918,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(3,):8",6.479460716247559,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(3,):9",6.428574562072754,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(1,):10",8.150066375732422,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(1,):11",7.958322525024414,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(3,):12",6.065891265869141,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
