R,accuracy,between_family_probability_variance,boundary,boundary_index,coefficient_of_variation,depth,layer,margin_SNR,margin_variance,mean_output_entropy,mean_target_margin,mean_target_probability,model_seed,n,nuisance_distance,nuisance_type,predictive_span,regime,residual_covariance_trace,trained_window,window,within_family_probability_variance
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,4,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,4,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,4,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,4,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,4,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,8,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,8,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,8,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,16,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,16,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,16,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,32,N1,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,initial,0,0.14297637383649162,2,-1,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
8.093553474196633e-06,0.0,8.093553474196633e-18,l0_preSA,1,0.14297637383649162,2,0,-6.994162551785518,12.543342313178755,0.00012997003796044737,-24.77093267440796,1.6463725690911424e-09,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
2.0628762049375882e-05,0.0,2.0628762049375882e-17,l0_postNorm,2,0.1437586437730067,2,0,-6.956103462202943,12.086684798598753,0.0001771935203578323,-24.183526515960693,2.6295053527701333e-09,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
212603134.54486176,0.0,0.00021260313454486175,l0_postSA,3,0.49455342689201204,2,0,-2.022026226843922,36.08071766384187,0.24196178745478392,-12.145750850439072,0.004361698819582071,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l0_postFF,4,1.1045047848006828,2,0,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
84251861239.11787,0.1875,0.08425186123911788,l1_preSA,5,1.1045047848006828,2,1,-0.9053831304587578,40.5514897853632,0.9421608075499535,-5.76548445224762,0.16046010684806108,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
78217939127.36955,0.1875,0.07821793912736955,l1_postNorm,6,1.1682376314338998,2,1,-0.8559902307159968,41.203062221288114,0.9727498311549425,-5.494568035006523,0.17215530409060145,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
111855328604.2066,0.125,0.1118553286042066,l1_postSA,7,1.285806675920819,2,1,-0.7777218912482518,104.8488214064217,0.4788887774629984,-7.96353879570961,0.18588553826931536,11,64,32,N3,2,signal_only_reachable,computed in selected trace only,full,1,0.0
180623376424.76968,0.25,0.1806233764247697,l1_postFF,8,1.577722606308899,2,1,-0.6338249802563698,156.22582215614557,0.13935424665214668,-7.922199249267578,0.27276667292787943,11,64,32,N2,2,signal_only_reachable,computed in selected trace only,full,1,0.0
