architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L8-W64-H2-T4,2,8,23,64,286336,4,1600
L8-W64-H4-T1,4,8,23,64,286336,1,400
L8-W64-H4-T2,4,8,23,64,286336,2,800
L8-W64-H4-T4,4,8,23,64,286336,4,1600
L8-W64-H8-T1,8,8,23,64,286336,1,400
L8-W64-H8-T2,8,8,23,64,286336,2,800
L8-W64-H8-T4,8,8,23,64,286336,4,1600
L8-W128-H1-T1,1,8,23,128,1096960,1,400
L8-W128-H1-T2,1,8,23,128,1096960,2,800
L8-W128-H1-T4,1,8,23,128,1096960,4,1600
L8-W128-H2-T1,2,8,23,128,1096960,1,400
L8-W128-H2-T2,2,8,23,128,1096960,2,800
L8-W128-H2-T4,2,8,23,128,1096960,4,1600
L8-W128-H4-T1,4,8,23,128,1096960,1,400
L8-W128-H4-T2,4,8,23,128,1096960,2,800
L8-W128-H4-T4,4,8,23,128,1096960,4,1600
L8-W128-H8-T1,8,8,23,128,1096960,1,400
L8-W128-H8-T2,8,8,23,128,1096960,2,800
L8-W128-H8-T4,8,8,23,128,1096960,4,1600
L8-W256-H1-T1,1,8,23,256,4291072,1,400
L8-W256-H1-T2,1,8,23,256,4291072,2,800
L8-W256-H1-T4,1,8,23,256,4291072,4,1600
L8-W256-H2-T1,2,8,23,256,4291072,1,400
L8-W256-H2-T2,2,8,23,256,4291072,2,800
L8-W256-H2-T4,2,8,23,256,4291072,4,1600
L8-W256-H4-T1,4,8,23,256,4291072,1,400
L8-W256-H4-T2,4,8,23,256,4291072,2,800
L8-W256-H4-T4,4,8,23,256,4291072,4,1600
L8-W256-H8-T1,8,8,23,256,4291072,1,400
L8-W256-H8-T2,8,8,23,256,4291072,2,800
L8-W256-H8-T4,8,8,23,256,4291072,4,1600
L12-W32-H1-T1,1,12,23,32,111808,1,400
L12-W32-H1-T2,1,12,23,32,111808,2,800
L12-W32-H1-T4,1,12,23,32,111808,4,1600
L12-W32-H2-T1,2,12,23,32,111808,1,400
L12-W32-H2-T2,2,12,23,32,111808,2,800
L12-W32-H2-T4,2,12,23,32,111808,4,1600
L12-W32-H4-T1,4,12,23,32,111808,1,400
L12-W32-H4-T2,4,12,23,32,111808,2,800
L12-W32-H4-T4,4,12,23,32,111808,4,1600
L12-W32-H8-T1,8,12,23,32,111808,1,400
L12-W32-H8-T2,8,12,23,32,111808,2,800
L12-W32-H8-T4,8,12,23,32,111808,4,1600
L12-W64-H1-T1,1,12,23,64,420224,1,400
L12-W64-H1-T2,1,12,23,64,420224,2,800
L12-W64-H1-T4,1,12,23,64,420224,4,1600
L12-W64-H2-T1,2,12,23,64,420224,1,400
L12-W64-H2-T2,2,12,23,64,420224,2,800
L12-W64-H2-T4,2,12,23,64,420224,4,1600
L12-W64-H4-T1,4,12,23,64,420224,1,400
L12-W64-H4-T2,4,12,23,64,420224,2,800
L12-W64-H4-T4,4,12,23,64,420224,4,1600
L12-W64-H8-T1,8,12,23,64,420224,1,400
L12-W64-H8-T2,8,12,23,64,420224,2,800
L12-W64-H8-T4,8,12,23,64,420224,4,1600
L12-W128-H1-T1,1,12,23,128,1626880,1,400
L12-W128-H1-T2,1,12,23,128,1626880,2,800
L12-W128-H1-T4,1,12,23,128,1626880,4,1600
L12-W128-H2-T1,2,12,23,128,1626880,1,400
L12-W128-H2-T2,2,12,23,128,1626880,2,800
L12-W128-H2-T4,2,12,23,128,1626880,4,1600
L12-W128-H4-T1,4,12,23,128,1626880,1,400
L12-W128-H4-T2,4,12,23,128,1626880,2,800
L12-W128-H4-T4,4,12,23,128,1626880,4,1600
L12-W128-H8-T1,8,12,23,128,1626880,1,400
L12-W128-H8-T2,8,12,23,128,1626880,2,800
L12-W128-H8-T4,8,12,23,128,1626880,4,1600
L12-W256-H1-T1,1,12,23,256,6399488,1,400
L12-W256-H1-T2,1,12,23,256,6399488,2,800
L12-W256-H1-T4,1,12,23,256,6399488,4,1600
L12-W256-H2-T1,2,12,23,256,6399488,1,400
L12-W256-H2-T2,2,12,23,256,6399488,2,800
L12-W256-H2-T4,2,12,23,256,6399488,4,1600
L12-W256-H4-T1,4,12,23,256,6399488,1,400
L12-W256-H4-T2,4,12,23,256,6399488,2,800
L12-W256-H4-T4,4,12,23,256,6399488,4,1600
L12-W256-H8-T1,8,12,23,256,6399488,1,400
L12-W256-H8-T2,8,12,23,256,6399488,2,800
L12-W256-H8-T4,8,12,23,256,6399488,4,1600
L16-W32-H1-T1,1,16,23,32,145984,1,400
L16-W32-H1-T2,1,16,23,32,145984,2,800
L16-W32-H1-T4,1,16,23,32,145984,4,1600
L16-W32-H2-T1,2,16,23,32,145984,1,400
L16-W32-H2-T2,2,16,23,32,145984,2,800
L16-W32-H2-T4,2,16,23,32,145984,4,1600
L16-W32-H4-T1,4,16,23,32,145984,1,400
L16-W32-H4-T2,4,16,23,32,145984,2,800
L16-W32-H4-T4,4,16,23,32,145984,4,1600
L16-W32-H8-T1,8,16,23,32,145984,1,400
L16-W32-H8-T2,8,16,23,32,145984,2,800
L16-W32-H8-T4,8,16,23,32,145984,4,1600
L16-W64-H1-T1,1,16,23,64,554112,1,400
L16-W64-H1-T2,1,16,23,64,554112,2,800
L16-W64-H1-T4,1,16,23,64,554112,4,1600
L16-W64-H2-T1,2,16,23,64,554112,1,400
L16-W64-H2-T2,2,16,23,64,554112,2,800
L16-W64-H2-T4,2,16,23,64,554112,4,1600
L16-W64-H4-T1,4,16,23,64,554112,1,400
L16-W64-H4-T2,4,16,23,64,554112,2,800
L16-W64-H4-T4,4,16,23,64,554112,4,1600
L16-W64-H8-T1,8,16,23,64,554112,1,400
L16-W64-H8-T2,8,16,23,64,554112,2,800
L16-W64-H8-T4,8,16,23,64,554112,4,1600
L16-W128-H1-T1,1,16,23,128,2156800,1,400
L16-W128-H1-T2,1,16,23,128,2156800,2,800
L16-W128-H1-T4,1,16,23,128,2156800,4,1600
L16-W128-H2-T1,2,16,23,128,2156800,1,400
L16-W128-H2-T2,2,16,23,128,2156800,2,800
L16-W128-H2-T4,2,16,23,128,2156800,4,1600
L16-W128-H4-T1,4,16,23,128,2156800,1,400
L16-W128-H4-T2,4,16,23,128,2156800,2,800
L16-W128-H4-T4,4,16,23,128,2156800,4,1600
L16-W128-H8-T1,8,16,23,128,2156800,1,400
L16-W128-H8-T2,8,16,23,128,2156800,2,800
L16-W128-H8-T4,8,16,23,128,2156800,4,1600
L16-W256-H1-T1,1,16,23,256,8507904,1,400
L16-W256-H1-T2,1,16,23,256,8507904,2,800
L16-W256-H1-T4,1,16,23,256,8507904,4,1600
L16-W256-H2-T1,2,16,23,256,8507904,1,400
L16-W256-H2-T2,2,16,23,256,8507904,2,800
L16-W256-H2-T4,2,16,23,256,8507904,4,1600
L16-W256-H4-T1,4,16,23,256,8507904,1,400
L16-W256-H4-T2,4,16,23,256,8507904,2,800
L16-W256-H4-T4,4,16,23,256,8507904,4,1600
L16-W256-H8-T1,8,16,23,256,8507904,1,400
L16-W256-H8-T2,8,16,23,256,8507904,2,800
L16-W256-H8-T4,8,16,23,256,8507904,4,1600
L24-W32-H1-T1,1,24,23,32,214336,1,400
L24-W32-H1-T2,1,24,23,32,214336,2,800
L24-W32-H1-T4,1,24,23,32,214336,4,1600
L24-W32-H2-T1,2,24,23,32,214336,1,400
L24-W32-H2-T2,2,24,23,32,214336,2,800
L24-W32-H2-T4,2,24,23,32,214336,4,1600
L24-W32-H4-T1,4,24,23,32,214336,1,400
L24-W32-H4-T2,4,24,23,32,214336,2,800
L24-W32-H4-T4,4,24,23,32,214336,4,1600
L24-W32-H8-T1,8,24,23,32,214336,1,400
L24-W32-H8-T2,8,24,23,32,214336,2,800
L24-W32-H8-T4,8,24,23,32,214336,4,1600
L24-W64-H1-T1,1,24,23,64,821888,1,400
L24-W64-H1-T2,1,24,23,64,821888,2,800
L24-W64-H1-T4,1,24,23,64,821888,4,1600
L24-W64-H2-T1,2,24,23,64,821888,1,400
L24-W64-H2-T2,2,24,23,64,821888,2,800
L24-W64-H2-T4,2,24,23,64,821888,4,1600
L24-W64-H4-T1,4,24,23,64,821888,1,400
L24-W64-H4-T2,4,24,23,64,821888,2,800
L24-W64-H4-T4,4,24,23,64,821888,4,1600
L24-W64-H8-T1,8,24,23,64,821888,1,400
L24-W64-H8-T2,8,24,23,64,821888,2,800
L24-W64-H8-T4,8,24,23,64,821888,4,1600
L24-W128-H1-T1,1,24,23,128,3216640,1,400
L24-W128-H1-T2,1,24,23,128,3216640,2,800
L24-W128-H1-T4,1,24,23,128,3216640,4,1600
L24-W128-H2-T1,2,24,23,128,3216640,1,400
L24-W128-H2-T2,2,24,23,128,3216640,2,800
L24-W128-H2-T4,2,24,23,128,3216640,4,1600
L24-W128-H4-T1,4,24,23,128,3216640,1,400
L24-W128-H4-T2,4,24,23,128,3216640,2,800
L24-W128-H4-T4,4,24,23,128,3216640,4,1600
L24-W128-H8-T1,8,24,23,128,3216640,1,400
L24-W128-H8-T2,8,24,23,128,3216640,2,800
L24-W128-H8-T4,8,24,23,128,3216640,4,1600
L24-W256-H1-T1,1,24,23,256,12724736,1,400
L24-W256-H1-T2,1,24,23,256,12724736,2,800
L24-W256-H1-T4,1,24,23,256,12724736,4,1600
L24-W256-H2-T1,2,24,23,256,12724736,1,400
L24-W256-H2-T2,2,24,23,256,12724736,2,800
L24-W256-H2-T4,2,24,23,256,12724736,4,1600
L24-W256-H4-T1,4,24,23,256,12724736,1,400
L24-W256-H4-T2,4,24,23,256,12724736,2,800
L24-W256-H4-T4,4,24,23,256,12724736,4,1600
L24-W256-H8-T1,8,24,23,256,12724736,1,400
L24-W256-H8-T2,8,24,23,256,12724736,2,800
L24-W256-H8-T4,8,24,23,256,12724736,4,1600
L2-W32-H1-T1,1,2,37,32,26368,1,400
L2-W32-H1-T2,1,2,37,32,26368,2,800
L2-W32-H1-T4,1,2,37,32,26368,4,1600
L2-W32-H2-T1,2,2,37,32,26368,1,400
L2-W32-H2-T2,2,2,37,32,26368,2,800
L2-W32-H2-T4,2,2,37,32,26368,4,1600
L2-W32-H4-T1,4,2,37,32,26368,1,400
L2-W32-H4-T2,4,2,37,32,26368,2,800
L2-W32-H4-T4,4,2,37,32,26368,4,1600
L2-W32-H8-T1,8,2,37,32,26368,1,400
L2-W32-H8-T2,8,2,37,32,26368,2,800
L2-W32-H8-T4,8,2,37,32,26368,4,1600
L2-W64-H1-T1,1,2,37,64,85504,1,400
L2-W64-H1-T2,1,2,37,64,85504,2,800
L2-W64-H1-T4,1,2,37,64,85504,4,1600
L2-W64-H2-T1,2,2,37,64,85504,1,400
L2-W64-H2-T2,2,2,37,64,85504,2,800
L2-W64-H2-T4,2,2,37,64,85504,4,1600
L2-W64-H4-T1,4,2,37,64,85504,1,400
L2-W64-H4-T2,4,2,37,64,85504,2,800
L2-W64-H4-T4,4,2,37,64,85504,4,1600
L2-W64-H8-T1,8,2,37,64,85504,1,400
L2-W64-H8-T2,8,2,37,64,85504,2,800
L2-W64-H8-T4,8,2,37,64,85504,4,1600
L2-W128-H1-T1,1,2,37,128,302080,1,400
L2-W128-H1-T2,1,2,37,128,302080,2,800
L2-W128-H1-T4,1,2,37,128,302080,4,1600
L2-W128-H2-T1,2,2,37,128,302080,1,400
L2-W128-H2-T2,2,2,37,128,302080,2,800
L2-W128-H2-T4,2,2,37,128,302080,4,1600
L2-W128-H4-T1,4,2,37,128,302080,1,400
L2-W128-H4-T2,4,2,37,128,302080,2,800
L2-W128-H4-T4,4,2,37,128,302080,4,1600
L2-W128-H8-T1,8,2,37,128,302080,1,400
L2-W128-H8-T2,8,2,37,128,302080,2,800
L2-W128-H8-T4,8,2,37,128,302080,4,1600
L2-W256-H1-T1,1,2,37,256,1128448,1,400
L2-W256-H1-T2,1,2,37,256,1128448,2,800
L2-W256-H1-T4,1,2,37,256,1128448,4,1600
L2-W256-H2-T1,2,2,37,256,1128448,1,400
L2-W256-H2-T2,2,2,37,256,1128448,2,800
L2-W256-H2-T4,2,2,37,256,1128448,4,1600
L2-W256-H4-T1,4,2,37,256,1128448,1,400
L2-W256-H4-T2,4,2,37,256,1128448,2,800
L2-W256-H4-T4,4,2,37,256,1128448,4,1600
L2-W256-H8-T1,8,2,37,256,1128448,1,400
L2-W256-H8-T2,8,2,37,256,1128448,2,800
L2-W256-H8-T4,8,2,37,256,1128448,4,1600
L4-W32-H1-T1,1,4,37,32,43456,1,400
L4-W32-H1-T2,1,4,37,32,43456,2,800
L4-W32-H1-T4,1,4,37,32,43456,4,1600
L4-W32-H2-T1,2,4,37,32,43456,1,400
L4-W32-H2-T2,2,4,37,32,43456,2,800
L4-W32-H2-T4,2,4,37,32,43456,4,1600
L4-W32-H4-T1,4,4,37,32,43456,1,400
L4-W32-H4-T2,4,4,37,32,43456,2,800
L4-W32-H4-T4,4,4,37,32,43456,4,1600
L4-W32-H8-T1,8,4,37,32,43456,1,400
L4-W32-H8-T2,8,4,37,32,43456,2,800
L4-W32-H8-T4,8,4,37,32,43456,4,1600
L4-W64-H1-T1,1,4,37,64,152448,1,400
L4-W64-H1-T2,1,4,37,64,152448,2,800
L4-W64-H1-T4,1,4,37,64,152448,4,1600
L4-W64-H2-T1,2,4,37,64,152448,1,400
L4-W64-H2-T2,2,4,37,64,152448,2,800
L4-W64-H2-T4,2,4,37,64,152448,4,1600
L4-W64-H4-T1,4,4,37,64,152448,1,400
L4-W64-H4-T2,4,4,37,64,152448,2,800
L4-W64-H4-T4,4,4,37,64,152448,4,1600
L4-W64-H8-T1,8,4,37,64,152448,1,400
L4-W64-H8-T2,8,4,37,64,152448,2,800
L4-W64-H8-T4,8,4,37,64,152448,4,1600
L4-W128-H1-T1,1,4,37,128,567040,1,400
L4-W128-H1-T2,1,4,37,128,567040,2,800
L4-W128-H1-T4,1,4,37,128,567040,4,1600
L4-W128-H2-T1,2,4,37,128,567040,1,400
L4-W128-H2-T2,2,4,37,128,567040,2,800
L4-W128-H2-T4,2,4,37,128,567040,4,1600
L4-W128-H4-T1,4,4,37,128,567040,1,400
L4-W128-H4-T2,4,4,37,128,567040,2,800
L4-W128-H4-T4,4,4,37,128,567040,4,1600
L4-W128-H8-T1,8,4,37,128,567040,1,400
L4-W128-H8-T2,8,4,37,128,567040,2,800
L4-W128-H8-T4,8,4,37,128,567040,4,1600
L4-W256-H1-T1,1,4,37,256,2182656,1,400
L4-W256-H1-T2,1,4,37,256,2182656,2,800
L4-W256-H1-T4,1,4,37,256,2182656,4,1600
L4-W256-H2-T1,2,4,37,256,2182656,1,400
L4-W256-H2-T2,2,4,37,256,2182656,2,800
L4-W256-H2-T4,2,4,37,256,2182656,4,1600
L4-W256-H4-T1,4,4,37,256,2182656,1,400
L4-W256-H4-T2,4,4,37,256,2182656,2,800
L4-W256-H4-T4,4,4,37,256,2182656,4,1600
L4-W256-H8-T1,8,4,37,256,2182656,1,400
L4-W256-H8-T2,8,4,37,256,2182656,2,800
L4-W256-H8-T4,8,4,37,256,2182656,4,1600
L6-W32-H1-T1,1,6,37,32,60544,1,400
L6-W32-H1-T2,1,6,37,32,60544,2,800
L6-W32-H1-T4,1,6,37,32,60544,4,1600
L6-W32-H2-T1,2,6,37,32,60544,1,400
L6-W32-H2-T2,2,6,37,32,60544,2,800
L6-W32-H2-T4,2,6,37,32,60544,4,1600
L6-W32-H4-T1,4,6,37,32,60544,1,400
L6-W32-H4-T2,4,6,37,32,60544,2,800
L6-W32-H4-T4,4,6,37,32,60544,4,1600
L6-W32-H8-T1,8,6,37,32,60544,1,400
L6-W32-H8-T2,8,6,37,32,60544,2,800
L6-W32-H8-T4,8,6,37,32,60544,4,1600
L6-W64-H1-T1,1,6,37,64,219392,1,400
L6-W64-H1-T2,1,6,37,64,219392,2,800
L6-W64-H1-T4,1,6,37,64,219392,4,1600
L6-W64-H2-T1,2,6,37,64,219392,1,400
L6-W64-H2-T2,2,6,37,64,219392,2,800
L6-W64-H2-T4,2,6,37,64,219392,4,1600
L6-W64-H4-T1,4,6,37,64,219392,1,400
L6-W64-H4-T2,4,6,37,64,219392,2,800
L6-W64-H4-T4,4,6,37,64,219392,4,1600
L6-W64-H8-T1,8,6,37,64,219392,1,400
L6-W64-H8-T2,8,6,37,64,219392,2,800
L6-W64-H8-T4,8,6,37,64,219392,4,1600
L6-W128-H1-T1,1,6,37,128,832000,1,400
L6-W128-H1-T2,1,6,37,128,832000,2,800
L6-W128-H1-T4,1,6,37,128,832000,4,1600
L6-W128-H2-T1,2,6,37,128,832000,1,400
L6-W128-H2-T2,2,6,37,128,832000,2,800
L6-W128-H2-T4,2,6,37,128,832000,4,1600
L6-W128-H4-T1,4,6,37,128,832000,1,400
L6-W128-H4-T2,4,6,37,128,832000,2,800
L6-W128-H4-T4,4,6,37,128,832000,4,1600
L6-W128-H8-T1,8,6,37,128,832000,1,400
L6-W128-H8-T2,8,6,37,128,832000,2,800
L6-W128-H8-T4,8,6,37,128,832000,4,1600
L6-W256-H1-T1,1,6,37,256,3236864,1,400
L6-W256-H1-T2,1,6,37,256,3236864,2,800
L6-W256-H1-T4,1,6,37,256,3236864,4,1600
L6-W256-H2-T1,2,6,37,256,3236864,1,400
L6-W256-H2-T2,2,6,37,256,3236864,2,800
L6-W256-H2-T4,2,6,37,256,3236864,4,1600
L6-W256-H4-T1,4,6,37,256,3236864,1,400
L6-W256-H4-T2,4,6,37,256,3236864,2,800
L6-W256-H4-T4,4,6,37,256,3236864,4,1600
L6-W256-H8-T1,8,6,37,256,3236864,1,400
L6-W256-H8-T2,8,6,37,256,3236864,2,800
L6-W256-H8-T4,8,6,37,256,3236864,4,1600
L8-W32-H1-T1,1,8,37,32,77632,1,400
L8-W32-H1-T2,1,8,37,32,77632,2,800
L8-W32-H1-T4,1,8,37,32,77632,4,1600
L8-W32-H2-T1,2,8,37,32,77632,1,400
L8-W32-H2-T2,2,8,37,32,77632,2,800
L8-W32-H2-T4,2,8,37,32,77632,4,1600
L8-W32-H4-T1,4,8,37,32,77632,1,400
L8-W32-H4-T2,4,8,37,32,77632,2,800
L8-W32-H4-T4,4,8,37,32,77632,4,1600
L8-W32-H8-T1,8,8,37,32,77632,1,400
L8-W32-H8-T2,8,8,37,32,77632,2,800
L8-W32-H8-T4,8,8,37,32,77632,4,1600
L8-W64-H1-T1,1,8,37,64,286336,1,400
L8-W64-H1-T2,1,8,37,64,286336,2,800
L8-W64-H1-T4,1,8,37,64,286336,4,1600
L8-W64-H2-T1,2,8,37,64,286336,1,400
L8-W64-H2-T2,2,8,37,64,286336,2,800
L8-W64-H2-T4,2,8,37,64,286336,4,1600
L8-W64-H4-T1,4,8,37,64,286336,1,400
L8-W64-H4-T2,4,8,37,64,286336,2,800
L8-W64-H4-T4,4,8,37,64,286336,4,1600
L8-W64-H8-T1,8,8,37,64,286336,1,400
L8-W64-H8-T2,8,8,37,64,286336,2,800
L8-W64-H8-T4,8,8,37,64,286336,4,1600
L8-W128-H1-T1,1,8,37,128,1096960,1,400
L8-W128-H1-T2,1,8,37,128,1096960,2,800
L8-W128-H1-T4,1,8,37,128,1096960,4,1600
L8-W128-H2-T1,2,8,37,128,1096960,1,400
L8-W128-H2-T2,2,8,37,128,1096960,2,800
L8-W128-H2-T4,2,8,37,128,1096960,4,1600
L8-W128-H4-T1,4,8,37,128,1096960,1,400
L8-W128-H4-T2,4,8,37,128,1096960,2,800
L8-W128-H4-T4,4,8,37,128,1096960,4,1600
L8-W128-H8-T1,8,8,37,128,1096960,1,400
L8-W128-H8-T2,8,8,37,128,1096960,2,800
L8-W128-H8-T4,8,8,37,128,1096960,4,1600
L8-W256-H1-T1,1,8,37,256,4291072,1,400
L8-W256-H1-T2,1,8,37,256,4291072,2,800
L8-W256-H1-T4,1,8,37,256,4291072,4,1600
L8-W256-H2-T1,2,8,37,256,4291072,1,400
L8-W256-H2-T2,2,8,37,256,4291072,2,800
L8-W256-H2-T4,2,8,37,256,4291072,4,1600
L8-W256-H4-T1,4,8,37,256,4291072,1,400
L8-W256-H4-T2,4,8,37,256,4291072,2,800
L8-W256-H4-T4,4,8,37,256,4291072,4,1600
L8-W256-H8-T1,8,8,37,256,4291072,1,400
L8-W256-H8-T2,8,8,37,256,4291072,2,800
L8-W256-H8-T4,8,8,37,256,4291072,4,1600
L12-W32-H1-T1,1,12,37,32,111808,1,400
L12-W32-H1-T2,1,12,37,32,111808,2,800
L12-W32-H1-T4,1,12,37,32,111808,4,1600
L12-W32-H2-T1,2,12,37,32,111808,1,400
L12-W32-H2-T2,2,12,37,32,111808,2,800
L12-W32-H2-T4,2,12,37,32,111808,4,1600
L12-W32-H4-T1,4,12,37,32,111808,1,400
L12-W32-H4-T2,4,12,37,32,111808,2,800
L12-W32-H4-T4,4,12,37,32,111808,4,1600
L12-W32-H8-T1,8,12,37,32,111808,1,400
L12-W32-H8-T2,8,12,37,32,111808,2,800
L12-W32-H8-T4,8,12,37,32,111808,4,1600
L12-W64-H1-T1,1,12,37,64,420224,1,400
L12-W64-H1-T2,1,12,37,64,420224,2,800
L12-W64-H1-T4,1,12,37,64,420224,4,1600
L12-W64-H2-T1,2,12,37,64,420224,1,400
L12-W64-H2-T2,2,12,37,64,420224,2,800
L12-W64-H2-T4,2,12,37,64,420224,4,1600
L12-W64-H4-T1,4,12,37,64,420224,1,400
L12-W64-H4-T2,4,12,37,64,420224,2,800
L12-W64-H4-T4,4,12,37,64,420224,4,1600
L12-W64-H8-T1,8,12,37,64,420224,1,400
L12-W64-H8-T2,8,12,37,64,420224,2,800
L12-W64-H8-T4,8,12,37,64,420224,4,1600
L12-W128-H1-T1,1,12,37,128,1626880,1,400
L12-W128-H1-T2,1,12,37,128,1626880,2,800
L12-W128-H1-T4,1,12,37,128,1626880,4,1600
L12-W128-H2-T1,2,12,37,128,1626880,1,400
L12-W128-H2-T2,2,12,37,128,1626880,2,800
L12-W128-H2-T4,2,12,37,128,1626880,4,1600
L12-W128-H4-T1,4,12,37,128,1626880,1,400
L12-W128-H4-T2,4,12,37,128,1626880,2,800
L12-W128-H4-T4,4,12,37,128,1626880,4,1600
L12-W128-H8-T1,8,12,37,128,1626880,1,400
L12-W128-H8-T2,8,12,37,128,1626880,2,800
L12-W128-H8-T4,8,12,37,128,1626880,4,1600
L12-W256-H1-T1,1,12,37,256,6399488,1,400
L12-W256-H1-T2,1,12,37,256,6399488,2,800
L12-W256-H1-T4,1,12,37,256,6399488,4,1600
L12-W256-H2-T1,2,12,37,256,6399488,1,400
L12-W256-H2-T2,2,12,37,256,6399488,2,800
L12-W256-H2-T4,2,12,37,256,6399488,4,1600
L12-W256-H4-T1,4,12,37,256,6399488,1,400
L12-W256-H4-T2,4,12,37,256,6399488,2,800
L12-W256-H4-T4,4,12,37,256,6399488,4,1600
L12-W256-H8-T1,8,12,37,256,6399488,1,400
L12-W256-H8-T2,8,12,37,256,6399488,2,800
L12-W256-H8-T4,8,12,37,256,6399488,4,1600
L16-W32-H1-T1,1,16,37,32,145984,1,400
L16-W32-H1-T2,1,16,37,32,145984,2,800
L16-W32-H1-T4,1,16,37,32,145984,4,1600
L16-W32-H2-T1,2,16,37,32,145984,1,400
L16-W32-H2-T2,2,16,37,32,145984,2,800
L16-W32-H2-T4,2,16,37,32,145984,4,1600
L16-W32-H4-T1,4,16,37,32,145984,1,400
L16-W32-H4-T2,4,16,37,32,145984,2,800
L16-W32-H4-T4,4,16,37,32,145984,4,1600
L16-W32-H8-T1,8,16,37,32,145984,1,400
L16-W32-H8-T2,8,16,37,32,145984,2,800
L16-W32-H8-T4,8,16,37,32,145984,4,1600
L16-W64-H1-T1,1,16,37,64,554112,1,400
L16-W64-H1-T2,1,16,37,64,554112,2,800
L16-W64-H1-T4,1,16,37,64,554112,4,1600
L16-W64-H2-T1,2,16,37,64,554112,1,400
L16-W64-H2-T2,2,16,37,64,554112,2,800
L16-W64-H2-T4,2,16,37,64,554112,4,1600
L16-W64-H4-T1,4,16,37,64,554112,1,400
L16-W64-H4-T2,4,16,37,64,554112,2,800
L16-W64-H4-T4,4,16,37,64,554112,4,1600
L16-W64-H8-T1,8,16,37,64,554112,1,400
L16-W64-H8-T2,8,16,37,64,554112,2,800
L16-W64-H8-T4,8,16,37,64,554112,4,1600
L16-W128-H1-T1,1,16,37,128,2156800,1,400
L16-W128-H1-T2,1,16,37,128,2156800,2,800
L16-W128-H1-T4,1,16,37,128,2156800,4,1600
L16-W128-H2-T1,2,16,37,128,2156800,1,400
L16-W128-H2-T2,2,16,37,128,2156800,2,800
L16-W128-H2-T4,2,16,37,128,2156800,4,1600
L16-W128-H4-T1,4,16,37,128,2156800,1,400
L16-W128-H4-T2,4,16,37,128,2156800,2,800
L16-W128-H4-T4,4,16,37,128,2156800,4,1600
L16-W128-H8-T1,8,16,37,128,2156800,1,400
L16-W128-H8-T2,8,16,37,128,2156800,2,800
L16-W128-H8-T4,8,16,37,128,2156800,4,1600
L16-W256-H1-T1,1,16,37,256,8507904,1,400
L16-W256-H1-T2,1,16,37,256,8507904,2,800
L16-W256-H1-T4,1,16,37,256,8507904,4,1600
L16-W256-H2-T1,2,16,37,256,8507904,1,400
L16-W256-H2-T2,2,16,37,256,8507904,2,800
L16-W256-H2-T4,2,16,37,256,8507904,4,1600
L16-W256-H4-T1,4,16,37,256,8507904,1,400
L16-W256-H4-T2,4,16,37,256,8507904,2,800
L16-W256-H4-T4,4,16,37,256,8507904,4,1600
L16-W256-H8-T1,8,16,37,256,8507904,1,400
L16-W256-H8-T2,8,16,37,256,8507904,2,800
L16-W256-H8-T4,8,16,37,256,8507904,4,1600
L24-W32-H1-T1,1,24,37,32,214336,1,400
L24-W32-H1-T2,1,24,37,32,214336,2,800
L24-W32-H1-T4,1,24,37,32,214336,4,1600
L24-W32-H2-T1,2,24,37,32,214336,1,400
L24-W32-H2-T2,2,24,37,32,214336,2,800
L24-W32-H2-T4,2,24,37,32,214336,4,1600
L24-W32-H4-T1,4,24,37,32,214336,1,400
L24-W32-H4-T2,4,24,37,32,214336,2,800
L24-W32-H4-T4,4,24,37,32,214336,4,1600
L24-W32-H8-T1,8,24,37,32,214336,1,400
L24-W32-H8-T2,8,24,37,32,214336,2,800
L24-W32-H8-T4,8,24,37,32,214336,4,1600
L24-W64-H1-T1,1,24,37,64,821888,1,400
L24-W64-H1-T2,1,24,37,64,821888,2,800
L24-W64-H1-T4,1,24,37,64,821888,4,1600
L24-W64-H2-T1,2,24,37,64,821888,1,400
L24-W64-H2-T2,2,24,37,64,821888,2,800
L24-W64-H2-T4,2,24,37,64,821888,4,1600
L24-W64-H4-T1,4,24,37,64,821888,1,400
L24-W64-H4-T2,4,24,37,64,821888,2,800
L24-W64-H4-T4,4,24,37,64,821888,4,1600
L24-W64-H8-T1,8,24,37,64,821888,1,400
L24-W64-H8-T2,8,24,37,64,821888,2,800
L24-W64-H8-T4,8,24,37,64,821888,4,1600
L24-W128-H1-T1,1,24,37,128,3216640,1,400
L24-W128-H1-T2,1,24,37,128,3216640,2,800
L24-W128-H1-T4,1,24,37,128,3216640,4,1600
L24-W128-H2-T1,2,24,37,128,3216640,1,400
L24-W128-H2-T2,2,24,37,128,3216640,2,800
L24-W128-H2-T4,2,24,37,128,3216640,4,1600
L24-W128-H4-T1,4,24,37,128,3216640,1,400
L24-W128-H4-T2,4,24,37,128,3216640,2,800
L24-W128-H4-T4,4,24,37,128,3216640,4,1600
L24-W128-H8-T1,8,24,37,128,3216640,1,400
L24-W128-H8-T2,8,24,37,128,3216640,2,800
L24-W128-H8-T4,8,24,37,128,3216640,4,1600
L24-W256-H1-T1,1,24,37,256,12724736,1,400
L24-W256-H1-T2,1,24,37,256,12724736,2,800
L24-W256-H1-T4,1,24,37,256,12724736,4,1600
