final_correct,first_top1_layer,generator_family,model_seed,nuisance_count,predictive_family_id,settling_delay,stable_top1_layer,surface_identity_id,top1_reversal_count
1,4,binary_functor,11,4,binary_functor:r2,0,4,test:11,1
1,4,binary_functor,11,8,binary_functor:r2,3,7,test:11,3
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:2,1
1,4,binary_functor,11,4,binary_functor:r2,0,4,test:2,1
1,7,binary_functor,11,8,binary_functor:r2,0,7,test:2,1
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:3,1
1,4,binary_functor,11,4,binary_functor:r2,0,4,test:3,1
1,7,binary_functor,11,8,binary_functor:r2,0,7,test:3,1
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:4,1
1,4,binary_functor,11,4,binary_functor:r2,0,4,test:4,1
1,3,binary_functor,11,8,binary_functor:r2,4,7,test:4,3
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:5,1
1,4,binary_functor,11,4,binary_functor:r2,3,7,test:5,3
1,4,binary_functor,11,8,binary_functor:r2,3,7,test:5,3
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:6,1
1,3,binary_functor,11,4,binary_functor:r2,4,7,test:6,3
1,2,binary_functor,11,8,binary_functor:r2,5,7,test:6,3
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:7,1
1,7,binary_functor,11,4,binary_functor:r2,0,7,test:7,1
1,7,binary_functor,11,8,binary_functor:r2,0,7,test:7,1
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:8,1
1,7,binary_functor,11,4,binary_functor:r2,0,7,test:8,1
1,4,binary_functor,11,8,binary_functor:r2,3,7,test:8,3
1,4,binary_functor,11,0,binary_functor:r2,0,4,test:9,1
1,4,binary_functor,11,4,binary_functor:r2,3,7,test:9,3
1,3,binary_functor,11,8,binary_functor:r2,0,3,test:9,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:0,1
1,7,contiguous_ngram,11,4,contiguous_ngram:r0,0,7,test:0,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r0,0,3,test:0,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:1,1
1,6,contiguous_ngram,11,4,contiguous_ngram:r0,0,6,test:1,1
1,4,contiguous_ngram,11,8,contiguous_ngram:r0,0,4,test:1,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:10,1
1,7,contiguous_ngram,11,4,contiguous_ngram:r0,0,7,test:10,1
1,6,contiguous_ngram,11,8,contiguous_ngram:r0,0,6,test:10,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:11,1
1,7,contiguous_ngram,11,4,contiguous_ngram:r0,0,7,test:11,1
1,4,contiguous_ngram,11,8,contiguous_ngram:r0,0,4,test:11,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:2,1
1,6,contiguous_ngram,11,4,contiguous_ngram:r0,0,6,test:2,1
1,5,contiguous_ngram,11,8,contiguous_ngram:r0,0,5,test:2,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:3,1
1,6,contiguous_ngram,11,4,contiguous_ngram:r0,0,6,test:3,1
1,7,contiguous_ngram,11,8,contiguous_ngram:r0,0,7,test:3,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:4,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r0,0,3,test:4,1
1,5,contiguous_ngram,11,8,contiguous_ngram:r0,0,5,test:4,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:5,1
1,7,contiguous_ngram,11,4,contiguous_ngram:r0,0,7,test:5,1
1,6,contiguous_ngram,11,8,contiguous_ngram:r0,0,6,test:5,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:6,1
1,2,contiguous_ngram,11,4,contiguous_ngram:r0,2,4,test:6,3
1,6,contiguous_ngram,11,8,contiguous_ngram:r0,0,6,test:6,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:7,1
1,6,contiguous_ngram,11,4,contiguous_ngram:r0,0,6,test:7,1
1,2,contiguous_ngram,11,8,contiguous_ngram:r0,2,4,test:7,3
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:8,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r0,0,3,test:8,1
1,5,contiguous_ngram,11,8,contiguous_ngram:r0,0,5,test:8,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r0,0,3,test:9,1
1,7,contiguous_ngram,11,4,contiguous_ngram:r0,0,7,test:9,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r0,0,3,test:9,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:0,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:0,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:0,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:1,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:1,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:1,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:10,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:10,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:10,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:11,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:11,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:11,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:2,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:2,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:2,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:3,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:3,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:3,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:4,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:4,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:4,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:5,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:5,1
1,6,contiguous_ngram,11,8,contiguous_ngram:r1,0,6,test:5,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:6,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:6,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:6,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:7,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:7,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:7,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:8,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:8,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r1,0,3,test:8,1
1,3,contiguous_ngram,11,0,contiguous_ngram:r1,0,3,test:9,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r1,0,3,test:9,1
1,7,contiguous_ngram,11,8,contiguous_ngram:r1,0,7,test:9,1
1,4,contiguous_ngram,11,0,contiguous_ngram:r2,0,4,test:0,1
1,4,contiguous_ngram,11,4,contiguous_ngram:r2,0,4,test:0,1
1,4,contiguous_ngram,11,8,contiguous_ngram:r2,2,6,test:0,3
1,4,contiguous_ngram,11,0,contiguous_ngram:r2,0,4,test:1,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r2,0,3,test:1,1
1,3,contiguous_ngram,11,8,contiguous_ngram:r2,0,3,test:1,1
1,4,contiguous_ngram,11,0,contiguous_ngram:r2,0,4,test:10,1
1,3,contiguous_ngram,11,4,contiguous_ngram:r2,4,7,test:10,3
1,4,contiguous_ngram,11,8,contiguous_ngram:r2,3,7,test:10,3
